"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[According]] to Gran , the company has no [[plans]] to [[move]] all production to Russia , although that is where the company is growing .","[[agree]] to Gran , the company has no [[contrive]] to [[motivate]] all production to Russia , although that is where the company is growing .",0.04743993282318115,0.6724737882614136,2,0,2,125,"Successful"
"Technopolis [[plans]] to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Technopolis [[contrive]] to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",0.4667367935180664,0.6327245831489563,2,0,2,209,"Successful"
"The [[international]] electronic [[industry]] company Elcoteq has [[laid]] off [[tens]] of [[employees]] from its Tallinn [[facility]] ; contrary to [[earlier]] layoffs the [[company]] [[contracted]] the [[ranks]] of its [[office]] [[workers]] , the daily Postimees [[reported]] .","The [[outside]] electronic [[manufacture]] company Elcoteq has [[repose]] off [[ten-spot]] of [[employee]] from its Tallinn [[adeptness]] ; contrary to [[early]] layoffs the [[accompany]] [[get]] the [[rank]] of its [[role]] [[actor]] , the daily Postimees [[account]] .",0.008935213088989258,0.8932217955589294,1,0,1,240,"Successful"
"With the new production plant the [[company]] would [[increase]] its [[capacity]] to meet the expected increase in demand and would [[improve]] the use of raw materials and [[therefore]] [[increase]] the production [[profitability]] .","With the new production plant the [[society]] would [[step-up]] its [[content]] to meet the expected increase in demand and would [[amend]] the use of raw materials and [[thence]] [[step-up]] the production [[lucrativeness]] .",0.0218161940574646,0.8342928886413574,0,2,0,199,"Successful"
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales [[growth]] in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales [[ontogeny]] in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",0.12294495105743408,0.5283089876174927,0,2,0,186,"Successful"
"FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is [[aggressively]] [[pursuing]] its [[growth]] strategy by increasingly focusing on technologically more [[demanding]] HDI printed circuit boards PCBs .","FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is [[sharply]] [[prosecute]] its [[increment]] strategy by increasingly focusing on technologically more [[necessitate]] HDI printed circuit boards PCBs .",0.14569038152694702,0.8788050413131714,0,2,0,124,"Successful"
"For the [[last]] [[quarter]] of 2010 , Componenta 's [[net]] sales [[doubled]] to EUR131m from EUR76m for the same period a year [[earlier]] , while it [[moved]] to a [[zero]] pre-tax [[profit]] from a pre-tax loss of EUR7m .","For the [[lowest]] [[draw]] of 2010 , Componenta 's [[last]] sales [[reduplicate]] to EUR131m from EUR76m for the same period a year [[before]] , while it [[affected]] to a [[nil]] pre-tax [[earnings]] from a pre-tax loss of EUR7m .",0.018061518669128418,0.36328983306884766,0,0,0,257,"Failed"
"In the third quarter of 2010 , [[net]] [[sales]] increased by [[5]].2 % to EUR 205.[[5]] [[mn]] , and [[operating]] [[profit]] by 34.9 % to EUR 23.[[5]] [[mn]] .","In the third quarter of 2010 , [[last]] [[sale]] increased by [[fivesome]].2 % to EUR 205.[[cinque]] [[manganese]] , and [[control]] [[lucre]] by 34.9 % to EUR 23.[[cinque]] [[manganese]] .",0.015408873558044434,0.5075632333755493,0,2,0,218,"Successful"
"Operating [[profit]] [[rose]] to EUR 13.1 mn from EUR 8.7 mn in the [[corresponding]] period in 2007 [[representing]] 7.7 % of [[net]] sales .","Operating [[earnings]] [[rosaceous]] to EUR 13.1 mn from EUR 8.7 mn in the [[equate]] period in 2007 [[comprise]] 7.7 % of [[sack]] sales .",0.01643228530883789,0.7207493782043457,0,1,0,233,"Successful"
"Operating [[profit]] [[totalled]] EUR [[21]].[[1]] [[mn]] , up from EUR [[18]].[[6]] [[mn]] in 2007 , [[representing]] [[9]].[[7]] % of [[net]] sales .","Operating [[net]] [[add]] EUR [[twenty-one]].[[unity]] [[Minnesota]] , up from EUR [[eighteen]].[[VI]] [[MN]] in 2007 , [[represent]] [[nine]].[[seven]] % of [[cyberspace]] sales .",0.015991926193237305,0.1538527011871338,0,0,0,228,"Failed"
"TeliaSonera TLSN said the offer is in [[line]] with its strategy to increase its ownership in core business holdings and would [[strengthen]] Eesti Telekom 's offering to its customers .","TeliaSonera TLSN said the offer is in [[wrinkle]] with its strategy to increase its ownership in core business holdings and would [[tone]] Eesti Telekom 's offering to its customers .",0.02509409189224243,0.996906042098999,0,1,0,216,"Successful"
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[raised]] the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) [[arouse]] the fair value for shares in four of the largest Nordic forestry groups .",0.027689814567565918,0.9522013664245605,0,1,0,193,"Successful"
"A purchase [[agreement]] for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was [[signed]] with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","A purchase [[correspondence]] for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was [[subscribe]] with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",0.0354648232460022,0.9352585077285767,0,2,0,152,"Successful"
"Finnish Talentum [[reports]] its [[operating]] [[profit]] increased to EUR [[20]].5 mn in 2005 from EUR [[9]].3 mn in 2004 , and [[net]] sales totaled EUR 103.[[3]] mn , up from EUR 96.[[4]] mn .","Finnish Talentum [[report]] its [[run]] [[net]] increased to EUR [[XX]].5 mn in 2005 from EUR [[nine]].3 mn in 2004 , and [[last]] sales totaled EUR 103.[[deuce-ace]] mn , up from EUR 96.[[quartet]] mn .",0.015912115573883057,0.018223702907562256,0,0,0,310,"Failed"
"[[Clothing]] retail chain Sepp+ñl+ñ 's [[sales]] [[increased]] by [[8]] % to EUR 155.2 [[mn]] , and operating [[profit]] [[rose]] to EUR [[31]].[[1]] mn from EUR 17.[[1]] mn in 2004 .","[[garb]] retail chain Sepp+ñl+ñ 's [[sale]] [[increase]] by [[VIII]] % to EUR 155.2 [[manganese]] , and operating [[profits]] [[jump]] to EUR [[thirty-one]].[[single]] mn from EUR 17.[[unity]] mn in 2004 .",0.015480518341064453,0.029658854007720947,0,0,0,248,"Failed"
"Consolidated [[net]] [[sales]] [[increased]] 16 % to [[reach]] EUR74 .8 m , while [[operating]] profit amounted to EUR0 .[[9]] m [[compared]] to a loss of EUR0 .[[7]] m in the prior [[year]] [[period]] .","Consolidated [[last]] [[sale]] [[increase]] 16 % to [[make]] EUR74 .8 m , while [[work]] profit amounted to EUR0 .[[nine]] m [[equate]] to a loss of EUR0 .[[heptad]] m in the prior [[twelvemonth]] [[flow]] .",0.013857543468475342,0.7442470788955688,0,1,0,219,"Successful"
"Foundries [[division]] [[reports]] its [[sales]] [[increased]] by [[9]].[[7]] % to EUR [[63]].[[1]] [[mn]] from EUR 57.[[5]] mn in the [[corresponding]] period in 2006 , and sales of the [[Machine]] [[Shop]] [[division]] [[increased]] by [[16]].[[4]] % to EUR 41.2 [[mn]] from EUR 35.[[4]] [[mn]] in the [[corresponding]] period in 2006 .","Foundries [[section]] [[cover]] its [[sale]] [[increase]] by [[ennead]].[[VII]] % to EUR [[lxiii]].[[I]] [[manganese]] from EUR 57.[[fivesome]] mn in the [[equate]] period in 2006 , and sales of the [[motorcar]] [[rat]] [[sectionalisation]] [[increase]] by [[XVI]].[[tetrad]] % to EUR 41.2 [[manganese]] from EUR 35.[[quaternity]] [[manganese]] in the [[tally]] period in 2006 .",0.016431033611297607,0.7081049680709839,0,2,0,374,"Successful"
"HELSINKI ( AFX ) - Shares closed [[higher]] , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI ( AFX ) - Shares closed [[mellow]] , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",0.01940828561782837,0.9807027578353882,0,1,0,201,"Successful"
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to [[double]] its revenues by 2007-2008 .","Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to [[duple]] its revenues by 2007-2008 .",0.02570021152496338,0.9982445240020752,0,1,0,114,"Successful"
